DateTime,Concentration,Diff,SgnDiff,SgnDiff1,SgnDiff2,SgnDiff3,Year,Month,DayWeek,Hour,Outlier,IsOutDiff,Concentration_Imput2,IndexLastMiss
2019-01-02 23:00:00,1.0,-0.30000000000000004,-1.0,1.0,1.0,1.0,2019,Jan,Wed,23,0,0,1.0,0
2019-01-03 00:00:00,0.9,-0.09999999999999998,-1.0,-1.0,1.0,1.0,2019,Jan,Thu,0,0,0,0.9,0
2019-01-03 01:00:00,1.1,0.20000000000000007,1.0,-1.0,1.0,1.0,2019,Jan,Thu,1,0,0,1.1,0
2019-01-03 02:00:00,1.4,0.2999999999999998,1.0,1.0,1.0,-1.0,2019,Jan,Thu,2,0,0,1.4,0
2019-01-03 03:00:00,1.7,0.30000000000000004,1.0,-1.0,-1.0,1.0,2019,Jan,Thu,3,0,0,1.7,0
2019-01-03 04:00:00,1.7,0.0,1.0,-1.0,1.0,1.0,2019,Jan,Thu,4,0,0,1.7,0
2019-01-03 05:00:00,0.8,-0.8999999999999999,-1.0,1.0,-1.0,1.0,2019,Jan,Thu,5,0,1,0.8,0
2019-01-03 06:00:00,3.9,3.0999999999999996,1.0,1.0,1.0,1.0,2019,Jan,Thu,6,0,1,3.9,0
2019-01-03 07:00:00,5.1,1.1999999999999997,1.0,1.0,1.0,1.0,2019,Jan,Thu,7,0,1,5.1,0
2019-01-03 08:00:00,1.5,-3.5999999999999996,-1.0,1.0,1.0,-1.0,2019,Jan,Thu,8,0,1,1.5,0
2019-01-03 09:00:00,1.8,0.30000000000000004,1.0,1.0,1.0,-1.0,2019,Jan,Thu,9,0,0,1.8,0
2019-01-03 10:00:00,2.5,0.7,1.0,-1.0,1.0,-1.0,2019,Jan,Thu,10,0,0,2.5,0
2019-01-03 11:00:00,2.6,0.10000000000000009,1.0,-1.0,1.0,1.0,2019,Jan,Thu,11,0,0,2.6,0
2019-01-03 12:00:00,2.1,-0.5,-1.0,1.0,1.0,1.0,2019,Jan,Thu,12,0,0,2.1,0
2019-01-03 13:00:00,1.8,-0.30000000000000004,-1.0,-1.0,-1.0,1.0,2019,Jan,Thu,13,0,0,1.8,0
